/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.25s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:05<00:00,  1.72s/it]
  0%|                                                                                                                                                                                                                                               | 0/16 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:333: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.71s/it]
layer:     0 | step:    23 | loss: 0.724 | iou: 0.006
layer:     0 | step:    24 | loss: 0.744 | iou: 0.006
layer:     0 | step:    25 | loss: 0.719 | iou: 0.006
layer:     0 | step:    26 | loss: 0.735 | iou: 0.006
layer:     0 | step:    27 | loss: 0.739 | iou: 0.006
layer:     0 | step:    28 | loss: 0.732 | iou: 0.006
layer:     0 | step:    29 | loss: 0.727 | iou: 0.006
layer:     0 | step:    30 | loss: 0.729 | iou: 0.006
layer:     0 | step:    31 | loss: 0.717 | iou: 0.006
layer:     0 | step:    32 | loss: 0.722 | iou: 0.006
layer:     0 | step:    33 | loss: 0.723 | iou: 0.006
layer:     0 | step:    34 | loss: 0.719 | iou: 0.006
layer:     0 | step:    35 | loss: 0.719 | iou: 0.006
layer:     0 | step:    36 | loss: 0.714 | iou: 0.006
layer:     0 | step:    37 | loss: 0.720 | iou: 0.006
layer:     0 | step:    38 | loss: 0.714 | iou: 0.006
layer:     0 | step:    39 | loss: 0.712 | iou: 0.006
layer:     0 | step:    40 | loss: 0.719 | iou: 0.006
layer:     0 | step:    41 | loss: 0.707 | iou: 0.006
layer:     0 | step:    42 | loss: 0.710 | iou: 0.006
layer:     0 | step:    43 | loss: 0.711 | iou: 0.006
layer:     0 | step:    44 | loss: 0.713 | iou: 0.006
layer:     0 | step:    45 | loss: 0.707 | iou: 0.006
layer:     0 | step:    46 | loss: 0.706 | iou: 0.006
layer:     0 | step:    47 | loss: 0.698 | iou: 0.006
layer:     0 | step:    48 | loss: 0.700 | iou: 0.006
layer:     0 | step:    49 | loss: 0.700 | iou: 0.006
layer:     0 | step:    50 | loss: 0.708 | iou: 0.006
layer:     0 | step:    51 | loss: 0.695 | iou: 0.006
layer:     0 | step:    52 | loss: 0.700 | iou: 0.006
layer:     0 | step:    53 | loss: 0.698 | iou: 0.006
layer:     0 | step:    54 | loss: 0.688 | iou: 0.006
layer:     0 | step:    55 | loss: 0.686 | iou: 0.006
layer:     0 | step:    56 | loss: 0.688 | iou: 0.006
layer:     0 | step:    57 | loss: 0.690 | iou: 0.006
layer:     0 | step:    58 | loss: 0.674 | iou: 0.006
layer:     0 | step:    59 | loss: 0.689 | iou: 0.006
layer:     0 | step:    60 | loss: 0.676 | iou: 0.006
layer:     0 | step:    61 | loss: 0.683 | iou: 0.006
layer:     0 | step:    62 | loss: 0.685 | iou: 0.006
layer:     0 | step:    63 | loss: 0.678 | iou: 0.006
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:    64 | loss: 0.680 | iou: 0.006
layer:     0 | step:    65 | loss: 0.678 | iou: 0.006
layer:     0 | step:    66 | loss: 0.675 | iou: 0.006
layer:     0 | step:    67 | loss: 0.677 | iou: 0.006
layer:     0 | step:    68 | loss: 0.675 | iou: 0.006
layer:     0 | step:    69 | loss: 0.656 | iou: 0.006
layer:     0 | step:    70 | loss: 0.657 | iou: 0.006
layer:     0 | step:    71 | loss: 0.677 | iou: 0.006
layer:     0 | step:    72 | loss: 0.672 | iou: 0.006
layer:     0 | step:    73 | loss: 0.665 | iou: 0.006
layer:     0 | step:    74 | loss: 0.675 | iou: 0.006
layer:     0 | step:    75 | loss: 0.667 | iou: 0.006
layer:     0 | step:    76 | loss: 0.634 | iou: 0.006
layer:     0 | step:    77 | loss: 0.665 | iou: 0.006
layer:     0 | step:    78 | loss: 0.635 | iou: 0.006
layer:     0 | step:    79 | loss: 0.655 | iou: 0.006
layer:     0 | step:    80 | loss: 0.664 | iou: 0.006
layer:     0 | step:    81 | loss: 0.663 | iou: 0.006
layer:     0 | step:    82 | loss: 0.658 | iou: 0.006
layer:     0 | step:    83 | loss: 0.640 | iou: 0.006
layer:     0 | step:    84 | loss: 0.635 | iou: 0.006
layer:     0 | step:    85 | loss: 0.665 | iou: 0.006
layer:     0 | step:    86 | loss: 0.657 | iou: 0.006
layer:     0 | step:    87 | loss: 0.655 | iou: 0.006
layer:     0 | step:    88 | loss: 0.656 | iou: 0.006
layer:     0 | step:    89 | loss: 0.613 | iou: 0.006
layer:     0 | step:    90 | loss: 0.619 | iou: 0.006
layer:     0 | step:    91 | loss: 0.651 | iou: 0.006
layer:     0 | step:    92 | loss: 0.657 | iou: 0.006
layer:     0 | step:    93 | loss: 0.654 | iou: 0.006
layer:     0 | step:    94 | loss: 0.602 | iou: 0.006
layer:     0 | step:    95 | loss: 0.659 | iou: 0.006
layer:     0 | step:    96 | loss: 0.649 | iou: 0.006
layer:     0 | step:    97 | loss: 0.629 | iou: 0.006
layer:     0 | step:    98 | loss: 0.639 | iou: 0.006
layer:     0 | step:    99 | loss: 0.641 | iou: 0.006
layer:     0 | step:   100 | loss: 0.650 | iou: 0.006
layer:     0 | step:   101 | loss: 0.653 | iou: 0.006
layer:     0 | step:   102 | loss: 0.619 | iou: 0.006
layer:     0 | step:   103 | loss: 0.635 | iou: 0.006
layer:     0 | step:   104 | loss: 0.638 | iou: 0.006
layer:     0 | step:   105 | loss: 0.640 | iou: 0.006
layer:     0 | step:   106 | loss: 0.629 | iou: 0.006
layer:     0 | step:   107 | loss: 0.631 | iou: 0.006
layer:     0 | step:   108 | loss: 0.621 | iou: 0.006
layer:     0 | step:   109 | loss: 0.628 | iou: 0.006
layer:     0 | step:   110 | loss: 0.585 | iou: 0.006
layer:     0 | step:   111 | loss: 0.584 | iou: 0.006
layer:     0 | step:   112 | loss: 0.635 | iou: 0.006
layer:     0 | step:   113 | loss: 0.620 | iou: 0.006
layer:     0 | step:   114 | loss: 0.630 | iou: 0.006
layer:     0 | step:   115 | loss: 0.633 | iou: 0.006
layer:     0 | step:   116 | loss: 0.624 | iou: 0.006
layer:     0 | step:   117 | loss: 0.629 | iou: 0.006
layer:     0 | step:   118 | loss: 0.595 | iou: 0.006
layer:     0 | step:   119 | loss: 0.609 | iou: 0.006
layer:     0 | step:   120 | loss: 0.620 | iou: 0.006
layer:     0 | step:   121 | loss: 0.614 | iou: 0.006
layer:     0 | step:   122 | loss: 0.610 | iou: 0.006
layer:     0 | step:   123 | loss: 0.614 | iou: 0.006
layer:     0 | step:   124 | loss: 0.601 | iou: 0.006
layer:     0 | step:   125 | loss: 0.610 | iou: 0.006
layer:     0 | step:   126 | loss: 0.599 | iou: 0.006
layer:     0 | step:   127 | loss: 0.616 | iou: 0.006
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.71s/it]
layer:     0 | step:   128 | loss: 0.586 | iou: 0.006
layer:     0 | step:   129 | loss: 0.623 | iou: 0.006
layer:     0 | step:   130 | loss: 0.616 | iou: 0.006
layer:     0 | step:   131 | loss: 0.620 | iou: 0.006
layer:     0 | step:   132 | loss: 0.608 | iou: 0.006
layer:     0 | step:   133 | loss: 0.619 | iou: 0.006
layer:     0 | step:   134 | loss: 0.560 | iou: 0.006
layer:     0 | step:   135 | loss: 0.607 | iou: 0.006
layer:     0 | step:   136 | loss: 0.572 | iou: 0.006
layer:     0 | step:   137 | loss: 0.607 | iou: 0.006
layer:     0 | step:   138 | loss: 0.597 | iou: 0.006
layer:     0 | step:   139 | loss: 0.609 | iou: 0.006
layer:     0 | step:   140 | loss: 0.614 | iou: 0.006
layer:     0 | step:   141 | loss: 0.600 | iou: 0.006
layer:     0 | step:   142 | loss: 0.619 | iou: 0.006
layer:     0 | step:   143 | loss: 0.597 | iou: 0.006
layer:     0 | step:   144 | loss: 0.590 | iou: 0.006
layer:     0 | step:   145 | loss: 0.605 | iou: 0.006
layer:     0 | step:   146 | loss: 0.595 | iou: 0.006
layer:     0 | step:   147 | loss: 0.604 | iou: 0.006
layer:     0 | step:   148 | loss: 0.586 | iou: 0.006
layer:     0 | step:   149 | loss: 0.568 | iou: 0.006
layer:     0 | step:   150 | loss: 0.587 | iou: 0.006
layer:     0 | step:   151 | loss: 0.589 | iou: 0.006
layer:     0 | step:   152 | loss: 0.586 | iou: 0.006
layer:     0 | step:   153 | loss: 0.561 | iou: 0.006
layer:     0 | step:   154 | loss: 0.519 | iou: 0.006
layer:     0 | step:   155 | loss: 0.564 | iou: 0.006
layer:     0 | step:   156 | loss: 0.587 | iou: 0.006
layer:     0 | step:   157 | loss: 0.578 | iou: 0.006
layer:     0 | step:   158 | loss: 0.585 | iou: 0.006
layer:     0 | step:   159 | loss: 0.585 | iou: 0.006
layer:     0 | step:   160 | loss: 0.583 | iou: 0.006
layer:     0 | step:   161 | loss: 0.595 | iou: 0.006
layer:     0 | step:   162 | loss: 0.523 | iou: 0.006
layer:     0 | step:   163 | loss: 0.574 | iou: 0.006
layer:     0 | step:   164 | loss: 0.570 | iou: 0.006
layer:     0 | step:   165 | loss: 0.585 | iou: 0.006
layer:     0 | step:   166 | loss: 0.592 | iou: 0.006
layer:     0 | step:   167 | loss: 0.592 | iou: 0.006
layer:     0 | step:   168 | loss: 0.580 | iou: 0.006
layer:     0 | step:   169 | loss: 0.591 | iou: 0.006
layer:     0 | step:   170 | loss: 0.585 | iou: 0.006
layer:     0 | step:   171 | loss: 0.574 | iou: 0.006
layer:     0 | step:   172 | loss: 0.576 | iou: 0.006
layer:     0 | step:   173 | loss: 0.588 | iou: 0.006
layer:     0 | step:   174 | loss: 0.549 | iou: 0.006
layer:     0 | step:   175 | loss: 0.573 | iou: 0.006
layer:     0 | step:   176 | loss: 0.577 | iou: 0.006
layer:     0 | step:   177 | loss: 0.562 | iou: 0.006
layer:     0 | step:   178 | loss: 0.577 | iou: 0.006
layer:     0 | step:   179 | loss: 0.564 | iou: 0.006
layer:     0 | step:   180 | loss: 0.573 | iou: 0.006
layer:     0 | step:   181 | loss: 0.565 | iou: 0.006
layer:     0 | step:   182 | loss: 0.553 | iou: 0.006
layer:     0 | step:   183 | loss: 0.554 | iou: 0.006
layer:     0 | step:   184 | loss: 0.573 | iou: 0.006
layer:     0 | step:   185 | loss: 0.526 | iou: 0.006
layer:     0 | step:   186 | loss: 0.563 | iou: 0.006
layer:     0 | step:   187 | loss: 0.560 | iou: 0.006
layer:     0 | step:   188 | loss: 0.574 | iou: 0.006
layer:     0 | step:   189 | loss: 0.571 | iou: 0.006
layer:     0 | step:   190 | loss: 0.560 | iou: 0.006
layer:     0 | step:   191 | loss: 0.542 | iou: 0.006
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:   192 | loss: 0.553 | iou: 0.006
layer:     0 | step:   193 | loss: 0.514 | iou: 0.006
layer:     0 | step:   194 | loss: 0.562 | iou: 0.006
layer:     0 | step:   195 | loss: 0.513 | iou: 0.006
layer:     0 | step:   196 | loss: 0.563 | iou: 0.006
layer:     0 | step:   197 | loss: 0.530 | iou: 0.006
layer:     0 | step:   198 | loss: 0.521 | iou: 0.006
layer:     0 | step:   199 | loss: 0.565 | iou: 0.006
layer:     0 | step:   200 | loss: 0.553 | iou: 0.006
layer:     0 | step:   201 | loss: 0.568 | iou: 0.006
layer:     0 | step:   202 | loss: 0.546 | iou: 0.006
layer:     0 | step:   203 | loss: 0.549 | iou: 0.006
layer:     0 | step:   204 | loss: 0.564 | iou: 0.006
layer:     0 | step:   205 | loss: 0.553 | iou: 0.006
layer:     0 | step:   206 | loss: 0.563 | iou: 0.006
layer:     0 | step:   207 | loss: 0.503 | iou: 0.006
layer:     0 | step:   208 | loss: 0.553 | iou: 0.006
layer:     0 | step:   209 | loss: 0.548 | iou: 0.006
layer:     0 | step:   210 | loss: 0.557 | iou: 0.006
layer:     0 | step:   211 | loss: 0.543 | iou: 0.006
layer:     0 | step:   212 | loss: 0.568 | iou: 0.006
layer:     0 | step:   213 | loss: 0.548 | iou: 0.006
layer:     0 | step:   214 | loss: 0.538 | iou: 0.006
layer:     0 | step:   215 | loss: 0.549 | iou: 0.006
layer:     0 | step:   216 | loss: 0.533 | iou: 0.006
layer:     0 | step:   217 | loss: 0.562 | iou: 0.006
layer:     0 | step:   218 | loss: 0.547 | iou: 0.006
layer:     0 | step:   219 | loss: 0.492 | iou: 0.006
layer:     0 | step:   220 | loss: 0.501 | iou: 0.006
layer:     0 | step:   221 | loss: 0.515 | iou: 0.006
layer:     0 | step:   222 | loss: 0.543 | iou: 0.006
layer:     0 | step:   223 | loss: 0.548 | iou: 0.006
layer:     0 | step:   224 | loss: 0.541 | iou: 0.006
layer:     0 | step:   225 | loss: 0.527 | iou: 0.006
layer:     0 | step:   226 | loss: 0.476 | iou: 0.006
layer:     0 | step:   227 | loss: 0.537 | iou: 0.006
layer:     0 | step:   228 | loss: 0.529 | iou: 0.006
layer:     0 | step:   229 | loss: 0.537 | iou: 0.006
layer:     0 | step:   230 | loss: 0.537 | iou: 0.006
layer:     0 | step:   231 | loss: 0.530 | iou: 0.006
layer:     0 | step:   232 | loss: 0.537 | iou: 0.006
layer:     0 | step:   233 | loss: 0.518 | iou: 0.006
layer:     0 | step:   234 | loss: 0.547 | iou: 0.006
layer:     0 | step:   235 | loss: 0.535 | iou: 0.006
layer:     0 | step:   236 | loss: 0.531 | iou: 0.006
layer:     0 | step:   237 | loss: 0.518 | iou: 0.006
layer:     0 | step:   238 | loss: 0.542 | iou: 0.006
layer:     0 | step:   239 | loss: 0.521 | iou: 0.006
layer:     0 | step:   240 | loss: 0.538 | iou: 0.006
layer:     0 | step:   241 | loss: 0.486 | iou: 0.006
layer:     0 | step:   242 | loss: 0.511 | iou: 0.006
layer:     0 | step:   243 | loss: 0.506 | iou: 0.006
layer:     0 | step:   244 | loss: 0.539 | iou: 0.006
layer:     0 | step:   245 | loss: 0.529 | iou: 0.006
layer:     0 | step:   246 | loss: 0.464 | iou: 0.006
layer:     0 | step:   247 | loss: 0.528 | iou: 0.006
layer:     0 | step:   248 | loss: 0.539 | iou: 0.006
layer:     0 | step:   249 | loss: 0.516 | iou: 0.006
layer:     0 | step:   250 | loss: 0.533 | iou: 0.006
layer:     0 | step:   251 | loss: 0.521 | iou: 0.006
layer:     0 | step:   252 | loss: 0.493 | iou: 0.006
layer:     0 | step:   253 | loss: 0.535 | iou: 0.006
layer:     0 | step:   254 | loss: 0.519 | iou: 0.006
layer:     0 | step:   255 | loss: 0.479 | iou: 0.006
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:   256 | loss: 0.523 | iou: 0.006
layer:     0 | step:   257 | loss: 0.515 | iou: 0.006
layer:     0 | step:   258 | loss: 0.500 | iou: 0.006
layer:     0 | step:   259 | loss: 0.510 | iou: 0.006
layer:     0 | step:   260 | loss: 0.492 | iou: 0.006
layer:     0 | step:   261 | loss: 0.517 | iou: 0.006
layer:     0 | step:   262 | loss: 0.532 | iou: 0.006
layer:     0 | step:   263 | loss: 0.502 | iou: 0.006
layer:     0 | step:   264 | loss: 0.526 | iou: 0.006
layer:     0 | step:   265 | loss: 0.528 | iou: 0.006
layer:     0 | step:   266 | loss: 0.516 | iou: 0.006
layer:     0 | step:   267 | loss: 0.521 | iou: 0.006
layer:     0 | step:   268 | loss: 0.532 | iou: 0.006
layer:     0 | step:   269 | loss: 0.511 | iou: 0.006
layer:     0 | step:   270 | loss: 0.514 | iou: 0.006
layer:     0 | step:   271 | loss: 0.520 | iou: 0.006
layer:     0 | step:   272 | loss: 0.511 | iou: 0.006
layer:     0 | step:   273 | loss: 0.517 | iou: 0.006
layer:     0 | step:   274 | loss: 0.509 | iou: 0.006
layer:     0 | step:   275 | loss: 0.519 | iou: 0.006
layer:     0 | step:   276 | loss: 0.497 | iou: 0.006
layer:     0 | step:   277 | loss: 0.509 | iou: 0.006
layer:     0 | step:   278 | loss: 0.493 | iou: 0.006
layer:     0 | step:   279 | loss: 0.498 | iou: 0.006
layer:     0 | step:   280 | loss: 0.507 | iou: 0.006
layer:     0 | step:   281 | loss: 0.495 | iou: 0.006
layer:     0 | step:   282 | loss: 0.490 | iou: 0.006
layer:     0 | step:   283 | loss: 0.515 | iou: 0.006
layer:     0 | step:   284 | loss: 0.497 | iou: 0.006
layer:     0 | step:   285 | loss: 0.517 | iou: 0.006
layer:     0 | step:   286 | loss: 0.510 | iou: 0.006
layer:     0 | step:   287 | loss: 0.511 | iou: 0.006
layer:     0 | step:   288 | loss: 0.516 | iou: 0.006
layer:     0 | step:   289 | loss: 0.503 | iou: 0.006
layer:     0 | step:   290 | loss: 0.483 | iou: 0.006
Traceback (most recent call last):
  File "/pfs/rl-train/wenhaoli/spotlight/train.py", line 494, in <module>
    train(args)
  File "/pfs/rl-train/wenhaoli/spotlight/train.py", line 391, in train
    iou, loss = compute_loss(draft_attn, true_attn, random_query_index)
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/pfs/rl-train/wenhaoli/spotlight/train.py", line 110, in compute_attn_supervise_loss
    ious.append(len(set(q_pred) & set(q_label)) / len(set(q_pred) | set(q_label)))
KeyboardInterrupt
[rank0]: Traceback (most recent call last):
[rank0]:   File "/pfs/rl-train/wenhaoli/spotlight/train.py", line 494, in <module>
[rank0]:     train(args)
[rank0]:   File "/pfs/rl-train/wenhaoli/spotlight/train.py", line 391, in train
[rank0]:     iou, loss = compute_loss(draft_attn, true_attn, random_query_index)
[rank0]:                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[rank0]:   File "/pfs/rl-train/wenhaoli/spotlight/train.py", line 110, in compute_attn_supervise_loss
[rank0]:     ious.append(len(set(q_pred) & set(q_label)) / len(set(q_pred) | set(q_label)))
[rank0]: KeyboardInterrupt
